student_id,background,diagnostic_score,hours_practice,final_score,completed,started_on
S0209,Social sciences,39.9,28.0,62.6,True,2026-09-21
S0210,Social sciences,43.9,26.8,61.6,True,2026-09-23
S0211,Computing,69.6,3.3,56.3,True,2026-09-21
S0212,Engineering,72.6,12.4,67.2,True,2026-09-21
S0213,Computing,61.5,12.9,64.9,True,2026-09-22
S0214,Computing,65.7,17.0,66.7,True,2026-09-25
S0215,Mathematics or Physics,80.8,15.2,79.7,True,2026-09-24
S0216,Computing,79.6,12.2,63.6,True,2026-09-23
S0217,Computing,72.4,14.5,75.7,True,2026-09-21
S0218,Social sciences,41.6,29.0,74.1,True,2026-09-22
S0219,Life sciences,45.0,22.7,61.4,True,2026-09-21
S0220,Mathematics or Physics,82.7,6.4,68.9,True,2026-09-25
S0221,Computing,70.9,14.5,66.8,True,2026-09-23
S0222,Engineering,68.8,15.5,71.8,True,2026-09-25
S0223,Life sciences,41.2,18.6,49.5,True,2026-09-21
S0224,Engineering,72.3,18.6,70.5,True,2026-09-25
S0225,Computing,70.5,15.0,59.8,True,2026-09-23
S0226,Computing,69.1,14.2,68.7,True,2026-09-24
S0227,Engineering,68.1,2.0,53.4,True,2026-09-24
S0228,Social sciences,33.1,28.0,55.0,True,2026-09-22
S0229,Engineering,72.0,7.1,62.5,True,2026-09-23
S0230,Social sciences,44.1,30.3,63.0,False,2026-09-23
S0231,Mathematics or Physics,82.0,10.8,74.1,False,2026-09-24
S0232,Computing,66.7,17.6,64.4,True,2026-09-23
S0233,Social sciences,37.2,27.3,57.8,True,2026-09-23
S0234,Engineering,71.2,10.7,64.3,True,2026-09-23
S0235,Engineering,69.0,12.7,58.4,True,2026-09-22
S0236,Computing,79.6,4.6,59.9,True,2026-09-21
S0237,Computing,72.0,11.3,64.0,True,2026-09-25
S0238,Life sciences,41.1,19.8,51.0,False,2026-09-22
S0239,Computing,60.6,15.1,63.7,True,2026-09-22
S0240,Computing,69.1,11.2,62.7,True,2026-09-22
